centroid_x,centroid_y,radius_500
386555.83931726444,59053.64517567177,
386076.2623355844,59661.61541066228,
384654.96537748346,59459.660438727486,
386008.5200307447,59107.35429711576,
385749.4844649365,59352.26182610075,
381925.9032669629,65284.78902083975,
383463.4386169458,58576.7404389902,43.0
382502.1203904148,65666.95993220457,
382560.13557533175,57884.99659886935,
382694.2225216494,57603.5378437794,
383346.2623578207,56832.11935243062,
383384.80418311944,56950.299002089036,
382540.6438344422,65785.01199723425,
383501.97540190065,58694.896181250224,43.0
382954.7786180134,58748.61261605184,
383136.6472009674,58267.38816116987,
381426.74344826664,65138.72983830424,
381167.97479660687,65383.3465754114,
383645.3324505066,58095.49507352043,
383481.93185413023,57940.81161649799,
383879.575419257,61583.82878499289,
383620.6582462714,61828.61485167158,
382862.4485193967,61927.31849502417,
382891.74815782584,62363.21681017811,
383552.84765066294,61274.55638207807,
383073.57011854654,61882.24541573458,
383833.31341143674,63172.81020788103,
384197.037595708,62210.91048945103,
384015.16845196305,62691.8787107576,
382585.12385341246,62807.63483023385,
382623.65419298515,62925.7273498543,
383649.9377704518,62264.53106780638,
383688.4642050962,62382.63597711862,
386134.6965502377,60533.74644715154,
386163.9112256992,60969.77609761881,
384742.7296595508,60767.78547840622,
384263.3453571681,61375.54963309201,
384924.65522947063,60286.67035835028,
386213.03157428897,62159.603707681075,
385954.0412871651,62404.385817651186,
384839.75337064464,61757.86812376189,
384878.27518230927,61875.9854698611,
385348.40471309586,61586.110591645745,
388122.0506695874,60046.217614369954,
386700.6008277353,59844.23087622046,
386911.82361369365,59799.124368387995,
387170.89282842015,59554.225500471635,
382361.4978788986,60391.80431236014,
382400.0355038933,60509.92967943851,
387488.3384976722,60181.528765602234,
387306.2949385308,60662.69616321651,
382497.1980004184,61499.95778181166,
383733.18574741133,59403.79951221323,
383771.7190776787,59521.944880035706,
383042.6836271556,60056.77367471458,
383406.41123964195,59094.46729416657,43.0
383224.54037971306,59575.638848820985,
383850.300733442,61147.870743545536,
383686.9328576692,60993.22915321866,
384348.18939766375,59904.30860599066,
382736.00436759373,60501.35460884217,
382477.10927365965,60746.17596810612,
383800.9990010203,59957.99256992857,
383830.2772999703,60394.016353416,
388352.0011550325,59365.187557776924,
387141.7024143369,59118.10026905926,
383987.4032597436,63645.17331692421,
384016.6694614237,64080.993894129475,
382595.98047319945,63878.94311987362,
382116.8588273882,64486.35775348525,
382777.7706185156,63398.08260652263,
384065.94163912395,65270.24754164738,
383807.081293326,65514.8815430013,
384277.03890513704,65225.21900205067,
382693.10989342304,64868.554380906266,
382731.6344291758,64986.618496525545,
383201.55009589065,64696.93727125173,
